"staSeq","Year","grp","ylat","xlong"
14147,7,"5-9",41.9147,-72.549
14148,5,"5-9",41.7846,-72.9657
14150,5,"5-9",41.0276,-73.6621
14153,6,"5-9",41.5547,-72.6737
14172,5,"5-9",41.4131,-73.2823
14179,7,"5-9",41.797345,-73.115842
14183,5,"5-9",41.5979,-73.4152
14188,16,"15-19",41.588,-72.8977
14195,6,"5-9",41.2591,-73.0979
14197,10,"10-14",41.7508,-72.8717
14206,8,"5-9",41.9548,-71.884
14209,5,"5-9",41.5021,-73.0471
14221,7,"5-9",41.3278,-72.6116
14226,10,"10-14",41.5314,-72.8218
14235,8,"5-9",41.7822,-72.5912
14241,6,"5-9",41.8503,-72.4878
14247,6,"5-9",41.9431,-73.3058
14254,6,"5-9",41.8906,-73.3576
14263,7,"5-9",41.5681,-72.1702
14277,5,"5-9",41.6393,-72.0582
14278,8,"5-9",41.6158,-72.0416
14283,6,"5-9",41.9199,-73.0597
14284,10,"10-14",41.5439,-73.0384
14288,11,"10-14",41.6189,-72.7127
14293,5,"5-9",41.0806,-73.5812
14305,6,"5-9",42.0147,-72.0017
14314,20,"20 +",41.8008,-72.1182
14316,20,"20 +",41.6159,-73.0579
14317,21,"20 +",41.4435,-73.0642
14318,7,"5-9",41.3387,-73.0806
14319,8,"5-9",41.7361,-73.1054
14321,7,"5-9",41.6497,-73.0774
14322,9,"5-9",41.631,-73.0772
14329,7,"5-9",41.5304,-73.0402
14332,9,"5-9",41.5002,-73.0503
14341,8,"5-9",41.7891,-73.1145
14358,6,"5-9",41.0898,-73.5152
14360,11,"10-14",41.2675,-73.4414
14361,10,"10-14",41.1359,-73.426
14366,6,"5-9",41.246,-73.4341
14370,9,"5-9",41.1909,-73.4297
14379,6,"5-9",41.3978,-71.8422
14383,6,"5-9",41.6719,-72.8751
14388,5,"5-9",41.678,-73.0002
14389,8,"5-9",41.6693,-72.9936
14390,12,"10-14",41.6742,-72.9619
14391,6,"5-9",41.6681,-72.9208
14392,17,"15-19",41.6738,-72.8977
14393,9,"5-9",41.7046,-72.8504
14394,6,"5-9",41.2343,-73.1838
14404,8,"5-9",41.4717,-73.256
14409,6,"5-9",41.4162,-73.2824
14410,10,"10-14",42.022,-71.9528
14413,17,"15-19",41.528244,-72.856272
14414,15,"15-19",41.4501,-72.8407
14441,26,"20 +",41.5742,-72.4294
14442,26,"20 +",41.974,-73.0406
14444,26,"20 +",41.2945,-73.3948
14445,5,"5-9",41.1693,-73.367
14446,7,"5-9",41.8941,-72.5723
14450,28,"20 +",41.5489,-73.3308
14451,8,"5-9",41.7002,-72.1823
14456,12,"10-14",41.5805,-73.0703
14458,15,"15-19",41.4389,-73.401
14461,7,"5-9",41.9685,-73.0331
14465,8,"5-9",41.9608,-72.711
14469,6,"5-9",41.8201,-72.5033
14470,14,"10-14",41.8272,-72.464
14472,5,"5-9",41.5655,-72.8905
14479,10,"10-14",41.7314,-72.7231
14482,10,"10-14",41.8181,-73.1441
14484,7,"5-9",41.9372,-72.8215
14490,5,"5-9",41.3399,-72.7154
14492,5,"5-9",41.8326,-72.3079
14580,9,"5-9",41.9505,-72.3037
14581,13,"10-14",41.9423,-72.3058
14583,8,"5-9",41.9525,-72.3039
14584,12,"10-14",41.904,-72.2891
14591,6,"5-9",41.7971,-72.1716
14598,5,"5-9",41.6022,-71.9868
14605,13,"10-14",41.5908,-72.9009
14609,5,"5-9",41.9081,-71.9096
14628,8,"5-9",41.5687,-73.0574
14706,16,"15-19",41.3928,-71.9604
14713,5,"5-9",41.9503,-73.049
14720,20,"20 +",41.4568,-71.8169
14721,7,"5-9",41.4101,-71.8452
14740,6,"5-9",41.512349,-73.52695
14741,5,"5-9",41.3287,-73.5218
14800,8,"5-9",41.6105,-73.1153
14825,11,"10-14",41.6743,-73.0695
14842,5,"5-9",41.9305,-73.079
15005,5,"5-9",41.7588,-73.1841
15013,8,"5-9",41.4259,-72.9056
15020,7,"5-9",41.43,-72.3392
15087,5,"5-9",41.3668,-72.8543
15176,7,"5-9",41.7569,-72.1523
15240,7,"5-9",42.0356,-72.9384
15301,5,"5-9",41.8067,-72.2646
15304,7,"5-9",41.7938,-72.2752
15312,10,"10-14",41.409952,-72.329059
15315,7,"5-9",41.4603,-72.3343
15319,5,"5-9",41.8158,-72.8294
15357,5,"5-9",41.1457,-73.3012
15479,6,"5-9",41.5996,-72.8854
15499,9,"5-9",41.94096,-72.834302
15530,9,"5-9",41.5575,-73.2155
15670,5,"5-9",41.3921,-73.4285
15796,12,"10-14",41.4748,-71.8342
15825,6,"5-9",41.9168,-72.989
15854,6,"5-9",41.4151,-72.8012
16066,6,"5-9",41.914,-72.765
16076,5,"5-9",41.7673,-73.4379
16110,9,"5-9",41.6615,-72.5365
16112,7,"5-9",41.4283,-72.4226
16114,7,"5-9",41.9328,-73.1214
16119,9,"5-9",41.5623,-72.4338
16124,9,"5-9",41.938249,-73.321123
16127,9,"5-9",41.864151,-73.167442
16128,9,"5-9",41.7812,-72.1509
16131,7,"5-9",41.3314,-72.595
16139,14,"10-14",41.9267,-73.2799
16141,5,"5-9",41.2534,-73.2059
16143,8,"5-9",41.2931,-73.3678
16335,8,"5-9",41.5783,-73.1745
16370,10,"10-14",41.7807,-72.963
