"staSeq","locationName","locationDescription","locationType","ylat","xlong","sourceMapScale","horizCollectMethod","horizRefDatum","stateCd","munName","subBasin","adbSegID","hydroID","stationsCommentTxt","createDate","createUser","lastUpdateDate","lastUpdateUser","Year"
14126,"Aspetuck River","Downstream Bayberry Lane","River/Stream",41.1864,-73.3429,24000,"Unknown","NAD83","CT","WESTPORT",7202,"CT7202-00_01","102001531","Initial Site Number=186 or alias of =AR-2//site comments:Small size stream with deep pool downstream of bridge and narrow riffle/run upstream of bridge.",2010-09-03 11:42:00,"GHoffman",2021-10-05 14:34:45,"BeckerM",1997
14126,"Aspetuck River","Downstream Bayberry Lane","River/Stream",41.1864,-73.3429,24000,"Unknown","NAD83","CT","WESTPORT",7202,"CT7202-00_01","102001531","Initial Site Number=186 or alias of =AR-2//site comments:Small size stream with deep pool downstream of bridge and narrow riffle/run upstream of bridge.",2010-09-03 11:42:00,"GHoffman",2021-10-05 14:34:45,"BeckerM",2013
14128,"Bantam River","downstream Smokey Hollow Road","River/Stream",41.6884,-73.2668,24000,"Interpolation-Map","NAD83","CT","MORRIS",6705,"CT6705-00_01","103010096","Initial Site Number=168 or alias of =//site comments:Benthic monitoring location.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1997
14128,"Bantam River","downstream Smokey Hollow Road","River/Stream",41.6884,-73.2668,24000,"Interpolation-Map","NAD83","CT","MORRIS",6705,"CT6705-00_01","103010096","Initial Site Number=168 or alias of =//site comments:Benthic monitoring location.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2011
14128,"Bantam River","downstream Smokey Hollow Road","River/Stream",41.6884,-73.2668,24000,"Interpolation-Map","NAD83","CT","MORRIS",6705,"CT6705-00_01","103010096","Initial Site Number=168 or alias of =//site comments:Benthic monitoring location.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2016
14128,"Bantam River","downstream Smokey Hollow Road","River/Stream",41.6884,-73.2668,24000,"Interpolation-Map","NAD83","CT","MORRIS",6705,"CT6705-00_01","103010096","Initial Site Number=168 or alias of =//site comments:Benthic monitoring location.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2006
14129,"Beacon Hill Brook","at Andrasko Road","River/Stream",41.4684,-73.0501,24000,"Interpolation-Map","NAD83","CT","BEACON FALLS",6918,"CT6918-00_01","103015193","Initial Site Number=NR30C or alias of =NR5A,5-003//site comments:Field measures for naugatuck river survey taken at mouth on opposite side of the highway from benthic site.",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",2011
14129,"Beacon Hill Brook","at Andrasko Road","River/Stream",41.4684,-73.0501,24000,"Interpolation-Map","NAD83","CT","BEACON FALLS",6918,"CT6918-00_01","103015193","Initial Site Number=NR30C or alias of =NR5A,5-003//site comments:Field measures for naugatuck river survey taken at mouth on opposite side of the highway from benthic site.",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",2006
14129,"Beacon Hill Brook","at Andrasko Road","River/Stream",41.4684,-73.0501,24000,"Interpolation-Map","NAD83","CT","BEACON FALLS",6918,"CT6918-00_01","103015193","Initial Site Number=NR30C or alias of =NR5A,5-003//site comments:Field measures for naugatuck river survey taken at mouth on opposite side of the highway from benthic site.",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",2015
14129,"Beacon Hill Brook","at Andrasko Road","River/Stream",41.4684,-73.0501,24000,"Interpolation-Map","NAD83","CT","BEACON FALLS",6918,"CT6918-00_01","103015193","Initial Site Number=NR30C or alias of =NR5A,5-003//site comments:Field measures for naugatuck river survey taken at mouth on opposite side of the highway from benthic site.",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",2016
14130,"Beaver Pond Brook","upstream Harper Ferry Road","River/Stream",41.5393,-73.0077,24000,"Interpolation-Map","NAD83","CT","WATERBURY",6913,"6913-00-2-R3",NA,"Initial Site Number=101 or alias of =6//site comments:Site added as part of a 1-day benthic RBP I protocol assessment",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",2004
14130,"Beaver Pond Brook","upstream Harper Ferry Road","River/Stream",41.5393,-73.0077,24000,"Interpolation-Map","NAD83","CT","WATERBURY",6913,"6913-00-2-R3",NA,"Initial Site Number=101 or alias of =6//site comments:Site added as part of a 1-day benthic RBP I protocol assessment",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",1988
14131,"Belcher Brook","upstream Elizabeth Road","River/Stream",41.5932,-72.7662,24000,"GPS-Unspecified","NAD83","CT","BERLIN",4601,"CT4601-00_01",NA,"Initial Site Number=102 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1995
14132,"Blackberry River","upstream Route 44 Bridge","River/Stream",42.0236,-73.341,24000,"Interpolation-Map","NAD83","CT","NORTH CANAAN",6100,"CT6100-00_02a",NA,"Initial Site Number=37 or alias of =BL-61//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2006
14132,"Blackberry River","upstream Route 44 Bridge","River/Stream",42.0236,-73.341,24000,"Interpolation-Map","NAD83","CT","NORTH CANAAN",6100,"CT6100-00_02a",NA,"Initial Site Number=37 or alias of =BL-61//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1996
14132,"Blackberry River","upstream Route 44 Bridge","River/Stream",42.0236,-73.341,24000,"Interpolation-Map","NAD83","CT","NORTH CANAAN",6100,"CT6100-00_02a",NA,"Initial Site Number=37 or alias of =BL-61//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1990
14137,"Blackledge River","US Confluence with Lyman Brook (upstream South Main St.)","River/Stream",41.6084,-72.4263,24000,"GPS-Unspecified","NAD83","CT","MARLBOROUGH",4707,"CT4707-00_01","106002616","Initial Site Number=103 or alias of =//site comments:Park at pulloff and walk upstream until the confluence with Lyman Brook (West Bank) SRWP RBV site 2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1998
14137,"Blackledge River","US Confluence with Lyman Brook (upstream South Main St.)","River/Stream",41.6084,-72.4263,24000,"GPS-Unspecified","NAD83","CT","MARLBOROUGH",4707,"CT4707-00_01","106002616","Initial Site Number=103 or alias of =//site comments:Park at pulloff and walk upstream until the confluence with Lyman Brook (West Bank) SRWP RBV site 2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2008
14137,"Blackledge River","US Confluence with Lyman Brook (upstream South Main St.)","River/Stream",41.6084,-72.4263,24000,"GPS-Unspecified","NAD83","CT","MARLBOROUGH",4707,"CT4707-00_01","106002616","Initial Site Number=103 or alias of =//site comments:Park at pulloff and walk upstream until the confluence with Lyman Brook (West Bank) SRWP RBV site 2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2012
14138,"Bladens River (Bladdens River)","under Route 8 & Route 67 junction","River/Stream",41.3972,-73.0718,24000,"GPS-Unspecified","NAD83","CT","SEYMOUR",6919,"CT6919-00_01","103016699","Initial Site Number=151 or alias of =BL-69,11243,5-008//site comments:Park in factory lot directly over river, walk across rte 67 to mouth.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2000
14138,"Bladens River (Bladdens River)","under Route 8 & Route 67 junction","River/Stream",41.3972,-73.0718,24000,"GPS-Unspecified","NAD83","CT","SEYMOUR",6919,"CT6919-00_01","103016699","Initial Site Number=151 or alias of =BL-69,11243,5-008//site comments:Park in factory lot directly over river, walk across rte 67 to mouth.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1996
14139,"Bladens River (Bladdens River)","downstream North Road/Pearl St.","River/Stream",41.3958,-73.0608,24000,"Interpolation-Map","NAD83","CT","SEYMOUR",6919,"CT6919-00_01",NA,"Initial Site Number=152 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2017-02-21 09:56:00,"LallyMe",1996
14145,"Branch Brook","downstream POTW near mouth","River/Stream",41.6434,-73.081,24000,"Interpolation-Map","NAD83","CT","WATERTOWN",6910,"CT6910-00_01",NA,"Initial Site Number=BB3 or alias of =BR-69//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2006
