staSeq,locationName,locationType,ylat,xlong,munName,subBasin,adbSegID,type,rationale
14730,Bride Brook,Wetland Estuarine-Tidal Creek,41.3169,-72.2434,EAST LYME,2206,CT2206-00_01,Beach,Bathing Beach Monitoring
14788,Allen Brook Pond,Riverine Impoundment,41.4261,-72.8367,WALLINGFORD,5207,CT5207-02-1-L1_01,Beach,Bathing Beach Monitoring
14789,Allen Brook Pond,Riverine Impoundment,41.4259,-72.8364,WALLINGFORD,5207,CT5207-02-1-L1_01,Beach,Bathing Beach Monitoring
14882,Bride Brook,Wetland Estuarine-Tidal Creek,41.3012,-72.2375,EAST LYME,2206,CT2206-E_01,Beach,Bathing Beach Monitoring
14896,Allen Brook,River/Stream,41.4242,-72.8343,WALLINGFORD,5207,CT5207-02_02,Beach,Bathing Beach Monitoring
15068,Pattaconk Reservoir,Lake,41.4089,-72.526,CHESTER,4017,CT4017-03-1-L3_01,Beach,Bathing Beach Monitoring
15069,Pattaconk Reservoir,Lake,41.4091,-72.5255,CHESTER,4017,CT4017-03-1-L3_01,Beach,Bathing Beach Monitoring
15894,Black Rock Pond,Lake,41.6501,-73.0977,WATERTOWN,6910,CT6910-14-1-L3_01,Beach,Bathing Beach Monitoring
15895,Black Rock Pond,Lake,41.6501,-73.0979,WATERTOWN,6910,CT6910-14-1-L3_01,Beach,Bathing Beach Monitoring
15896,Burr Pond,Lake,41.868717,-73.096066,TORRINGTON,4303,CT4303-02-1-L1_01,Beach,Bathing Beach Monitoring
15897,Burr Pond,Lake,41.869078,-73.096058,TORRINGTON,4303,CT4303-02-1-L1_01,Beach,Bathing Beach Monitoring
15898,Schreeder Pond,Riverine Impoundment,41.3692,-72.589,KILLINGWORTH,5105,CT5105-00-2-L1_01,Beach,Bathing Beach Monitoring
15899,Schreeder Pond,Riverine Impoundment,41.3699,-72.5899,KILLINGWORTH,5105,CT5105-00-2-L1_01,Beach,Bathing Beach Monitoring
15900,Chatfield Hollow Brook,River/Stream,41.372873,-72.592586,KILLINGWORTH,5105,CT5105-00 NOSEG,Beach,Bathing Beach Monitoring
15902,Day Pond,Lake,41.5579,-72.4196,COLCHESTER,4700,CT4700-02-1-L1_01,Beach,Bathing Beach Monitoring
15903,Day Pond,Lake,41.5581,-72.42,COLCHESTER,4700,CT4700-02-1-L1_01,Beach,Bathing Beach Monitoring
15904,Blackledge River,Riverine Impoundment,41.7238,-72.4467,HEBRON,4707,CT4707-00-2-L2_01,Beach,Bathing Beach Monitoring
15905,Blackledge River,Riverine Impoundment,41.7244,-72.4463,HEBRON,4707,CT4707-00-2-L2_01,Beach,Bathing Beach Monitoring
15906,Blackledge River,River/Stream,41.7264,-72.447,HEBRON,4707,CT4707-00_01,Beach,Bathing Beach Monitoring
15907,Hammonasset SP beach,BEACH Program Site-Estuary,41.2495,-72.5464,MADISON,0,CT-C2_005,Beach,Bathing Beach Monitoring
15908,Hammonasset SP beach,BEACH Program Site-Estuary,41.2564,-72.5537,MADISON,0,CT-C2_005,Beach,Bathing Beach Monitoring
15909,NNT to Toms Creek,Wetland Estuarine-Tidal Creek,41.2677,-72.5677,MADISON,0,CT-C2_005,Beach,Bathing Beach Monitoring
15911,Hammonasset SP beach,BEACH Program Site-Estuary,41.2595,-72.5576,MADISON,0,CT-C2_005,Beach,Bathing Beach Monitoring
15912,Hammonasset SP beach,BEACH Program Site-Estuary,41.2669,-72.5683,MADISON,0,CT-C2_005,Beach,Bathing Beach Monitoring
15913,Hammonasset SP beach,BEACH Program Site-Estuary,41.263,-72.5628,MADISON,0,CT-C2_005,Beach,Bathing Beach Monitoring
15914,Pachaug River,Riverine Impoundment,41.6069,-71.9266,GRISWOLD,3600,CT3600-00-3-L8_01,Beach,Bathing Beach Monitoring
15915,Pachaug River,Riverine Impoundment,41.6076,-71.9272,GRISWOLD,3600,CT3600-00-3-L8_01,Beach,Bathing Beach Monitoring
15916,Housatonic River,Riverine Impoundment,41.3443,-73.1249,SHELTON,6000,CT6000-00-5+L4_01,Beach,Bathing Beach Monitoring
15917,Housatonic River,Riverine Impoundment,41.3431,-73.1242,SHELTON,6000,CT6000-00-5+L4_01,Beach,Bathing Beach Monitoring
15922,Lake Waramaug,Lake,41.7079,-73.3832,WARREN,6502,CT6502-00-1-L2_01,Beach,Bathing Beach Monitoring
15923,Lake Waramaug,Lake,41.7078,-73.3832,WARREN,6502,CT6502-00-1-L2_01,Beach,Bathing Beach Monitoring
15924,Mashamoquet Brook diversion Pond,Lake,41.8576,-71.9796,POMFRET,3710,NOSEG,Beach,Bathing Beach Monitoring
