staSeq,type,rationale
18148,Lake,Lake Bioassessment Development
20842,Lake,Lake Bioassessment Development
18153,Lake,Lake Bioassessment Development
18154,Lake,Lake Bioassessment Development
16007,Lake,Lake Bioassessment Development
18156,Lake,Lake Bioassessment Development
20230,Lake,Lake Bioassessment Development
15627,Lake,Lake Bioassessment Development
18953,Lake,Lake Bioassessment Development
18947,Lake,Lake Bioassessment Development
15085,Lake,Lake Bioassessment Development
18650,Lake,Lake Bioassessment Development
18934,Lake,Lake Bioassessment Development
20053,Lake,Lake Bioassessment Development
16010,Lake,Lake Bioassessment Development
19356,Lake,Lake Bioassessment Development
16165,Lake,Lake Bioassessment Development
19337,Lake,Lake Bioassessment Development
15635,Lake,Lake Bioassessment Development
18150,Lake,Lake Bioassessment Development
14730,Beach,Bathing Beach Monitoring
14788,Beach,Bathing Beach Monitoring
14789,Beach,Bathing Beach Monitoring
14882,Beach,Bathing Beach Monitoring
14896,Beach,Bathing Beach Monitoring
15068,Beach,Bathing Beach Monitoring
15069,Beach,Bathing Beach Monitoring
15894,Beach,Bathing Beach Monitoring
15895,Beach,Bathing Beach Monitoring
15896,Beach,Bathing Beach Monitoring
15897,Beach,Bathing Beach Monitoring
15898,Beach,Bathing Beach Monitoring
15899,Beach,Bathing Beach Monitoring
15900,Beach,Bathing Beach Monitoring
15902,Beach,Bathing Beach Monitoring
15903,Beach,Bathing Beach Monitoring
15904,Beach,Bathing Beach Monitoring
15905,Beach,Bathing Beach Monitoring
15906,Beach,Bathing Beach Monitoring
15907,Beach,Bathing Beach Monitoring
15908,Beach,Bathing Beach Monitoring
15909,Beach,Bathing Beach Monitoring
15911,Beach,Bathing Beach Monitoring
15912,Beach,Bathing Beach Monitoring
15913,Beach,Bathing Beach Monitoring
15914,Beach,Bathing Beach Monitoring
15915,Beach,Bathing Beach Monitoring
15916,Beach,Bathing Beach Monitoring
15917,Beach,Bathing Beach Monitoring
15922,Beach,Bathing Beach Monitoring
15923,Beach,Bathing Beach Monitoring
15924,Beach,Bathing Beach Monitoring
15925,Beach,Bathing Beach Monitoring
15926,Beach,Bathing Beach Monitoring
15927,Beach,Bathing Beach Monitoring
15928,Beach,Bathing Beach Monitoring
