staSeq,locationName,locationDescription,locationType,ylat,xlong,sourceMapScale,horizCollectMethod,horizRefDatum,stateCd,munName,subBasin,adbSegID,hydroID,stationsCommentTxt,createDate,createUser,lastUpdateDate,lastUpdateUser,,
17248,A2,Willets Point,Estuary,40.800833,-73.787333,24000,GPS-Unspecified,NAD83,NY,NEW YORK  NY,0,NULL,NULL,Initial Site Name = A2; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17249,A4,Execution Rocks,Estuary,40.8725,-73.734167,24000,GPS-Unspecified,NAD83,NY,NORTH HEMPSTEAD  NY,0,NULL,NULL,Initial Site Name = A4; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD  HPLC  Plankton,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17216,38,unknown,Estuary,40.8793,-73.7188,24000,Unknown,NAD83,NY,NORTH HEMPSTEAD  NY,0,NULL,NULL,Initial Site Number=38 or alias of =//site comments:Only sampled on 8/2/94 Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,3/12/2010 0:00,BeaucheneM,,
17250,B3,Rye Beach,Estuary,40.918333,-73.642833,24000,GPS-Unspecified,NAD83,NY,OYSTER BAY  NY,0,NULL,NULL,Initial Site Name = B3; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD  HPLC  Plankton,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17256,15,Smithtown Bay,Estuary,40.931333,-73.221167,24000,GPS-Unspecified,NAD83,NY,SMITHTOWN  NY,0,NULL,NULL,Initial Site Name = 15; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17218,2,Bayville Bridge,Estuary,40.934667,-73.600667,24000,GPS-Unspecified,NAD83,NY,OYSTER BAY  NY,0,NULL,NULL,Initial Site Name = 02; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17220,4,Oyster Bay/ Lloyd Point,Estuary,40.937833,-73.519333,24000,GPS-Unspecified,NAD83,NY,OYSTER BAY  NY,0,NULL,NULL,Initial Site Name = 04; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17223,7,South Norwalk,Estuary,40.950333,-73.425333,24000,GPS-Unspecified,NAD83,CT,NORWALK,0,NULL,NULL,Initial Site Name = 07; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17225,10,Northport Bay,Estuary,40.951667,-73.3325,24000,GPS-Unspecified,NAD83,NY,HUNTINGTON  NY,0,NULL,NULL,Initial Site Name = 10; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17251,C1,Oyster Bay,Estuary,40.955833,-73.580333,24000,GPS-Unspecified,NAD83,NY,OYSTER BAY  NY,0,NULL,NULL,Initial Site Name = C1; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD  HPLC,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17222,6,Lloyd Point,Estuary,40.961167,-73.476667,24000,GPS-Unspecified,NAD83,NY,OYSTER BAY  NY,0,NULL,NULL,Initial Site Name = 06; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17217,1,Great Captain Island/ Greenwich,Estuary,40.963333,-73.623667,24000,GPS-Unspecified,NAD83,CT,GREENWICH,0,CT-W3_014,NULL,Initial Site Name = 01; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17219,3,Stamford Harbor,Estuary,40.979333,-73.560667,24000,GPS-Unspecified,NAD83,CT,GREENWICH,0,CT-W4_005,NULL,Initial Site Name = 03; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17236,25,North Shore Beach,Estuary,40.981,-72.918167,24000,GPS-Unspecified,NAD83,NY,BROOKHAVEN  NY,0,NULL,NULL,Initial Site Name = 25; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17252,C2,Stamford,Estuary,40.984333,-73.502167,24000,GPS-Unspecified,NAD83,CT,STAMFORD,0,CT-W4_004,NULL,Initial Site Name = C2; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17228,14,Outer Smithtown Bay,Estuary,40.9915,-73.218833,24000,GPS-Unspecified,NAD83,NY,SMITHTOWN  NY,0,NULL,NULL,Initial Site Name = 14; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17253,D3,Eatons Neck Point,Estuary,40.993833,-73.411333,24000,GPS-Unspecified,NAD83,CT,NORWALK,0,CT-W4_004,NULL,Initial Site Name = D3; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD  HPLC  Plankton,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17232,20,Port Jefferson,Estuary,40.994,-73.042333,24000,GPS-Unspecified,NAD83,NY,BROOKHAVEN  NY,0,NULL,NULL,Initial Site Name = 20; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
14645,Long Island Sound,South of Bouy #34 off Greenwich point,Estuary,41.0004,-73.5661,24000,Interpolation-Map,NAD83,CT,GREENWICH,7000,UNKNOWN,NULL,Initial Site Number=4 or alias of =//site comments:site was sampled by guy hoffman on june 30  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
14644,Long Island Sound,North of Bouy #34 off Greenwich point,Estuary,41.0006,-73.5698,24000,Interpolation-Map,NAD83,CT,GREENWICH,7000,UNKNOWN,NULL,Initial Site Number=3 or alias of =//site comments:site was sampled by guy hoffman on june 30  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
14643,Captain Harbor/LIS,west of Flat Neck Point,Estuary,41.0017,-73.5918,24000,Interpolation-Map,NAD83,CT,GREENWICH,7000,UNKNOWN,NULL,Initial Site Number=2 or alias of =//site comments:site was sampled by guy hoffman on june 30  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
17244,33,Roanoke Point,Estuary,41.003833,-72.651167,24000,GPS-Unspecified,NAD83,NY,RIVERHEAD  NY,0,NULL,NULL,Initial Site Name = 33; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17242,31,Northville,Estuary,41.004167,-72.768333,24000,GPS-Unspecified,NAD83,NY,RIVERHEAD  NY,0,NULL,NULL,Initial Site Name = 31; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
14647,Greenwich Harbor/LIS,East of Round Island Near bouys,Estuary,41.0092,-73.6232,24000,Interpolation-Map,NAD83,CT,GREENWICH,7000,UNKNOWN,NULL,Initial Site Number=6 or alias of =//site comments:site was sampled by guy hoffman on june 30  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
17221,5,Shippan Point  Stamford,Estuary,41.009333,-73.513667,24000,GPS-Unspecified,NAD83,CT,STAMFORD,0,CT-W3_011,NULL,Initial Site Name = 05; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
14648,Long Island Sound,Southeast Breakwater at entrance to Stamford Harbor,Estuary,41.0107,-73.5348,24000,Interpolation-Map,NAD83,CT,STAMFORD,7000,UNKNOWN,NULL,Initial Site Number=7 or alias of =//site comments:site was sampled by guy hoffman on july 1  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
20143,LIS Trawl 00-22,Eastern LIS - NY,Estuary,41.012,-72.83857,0,Interpolation-Satellite,WGS84,CT,Unknown,0,NULL,NULL,2018 summer flounder/fluke sample (10/31/18) for PCB fish tissue analysis coordinates = trawl end point; site 00-22,12/12/2018 14:48,LallyMe,11/17/2021 18:20,BeckerM,,
